year,title,info,id,_rid,_self,_etag,_attachments,_ts
2013,Rush,"{'directors': ['Ron Howard'], 'release_date': '2013-09-02T00:00:00Z', 'rating': 8.3, 'genres': ['Action', 'Biography', 'Drama', 'Sport'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQyMDE0MTY0OV5BMl5BanBnXkFtZTcwMjI2OTI0OQ@@._V1_SX400_.jpg', 'plot': 'A re-creation of the merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.', 'rank': 2, 'running_time_secs': 7380, 'actors': ['Daniel Bruhl', 'Chris Hemsworth', 'Olivia Wilde']}",ef51a302-9c68-4c07-829b-5f96f3486b20,41UnAPX7n7UBAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UBAAAAAAAAAA==/,"""7d00e256-0000-0700-0000-5e39d8170000""",attachments/,1580849175
2013,Prisoners,"{'directors': ['Denis Villeneuve'], 'release_date': '2013-08-30T00:00:00Z', 'rating': 8.2, 'genres': ['Crime', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX400_.jpg', 'plot': ""When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?"", 'rank': 3, 'running_time_secs': 9180, 'actors': ['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']}",216171fd-f56c-48e9-a7ff-72c398d1f5b8,41UnAPX7n7UCAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UCAAAAAAAAAA==/,"""7d00e556-0000-0700-0000-5e39d8170000""",attachments/,1580849175
2013,The Hunger Games: Catching Fire,"{'directors': ['Francis Lawrence'], 'release_date': '2013-11-11T00:00:00Z', 'genres': ['Action', 'Adventure', 'Sci-Fi', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX400_.jpg', 'plot': 'Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.', 'rank': 4, 'running_time_secs': 8760, 'actors': ['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']}",f2785a06-145a-4c58-b2fa-c5f636e763e3,41UnAPX7n7UDAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UDAAAAAAAAAA==/,"""7d00e756-0000-0700-0000-5e39d8170000""",attachments/,1580849175
2013,Thor: The Dark World,"{'directors': ['Alan Taylor'], 'release_date': '2013-10-30T00:00:00Z', 'genres': ['Action', 'Adventure', 'Fantasy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX400_.jpg', 'plot': 'Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.', 'rank': 5, 'actors': ['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']}",d871fe77-c6b4-4526-a802-18e6300a3f08,41UnAPX7n7UEAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UEAAAAAAAAAA==/,"""7d00ea56-0000-0700-0000-5e39d8170000""",attachments/,1580849175
2013,This Is the End,"{'directors': ['Evan Goldberg', 'Seth Rogen'], 'release_date': '2013-06-03T00:00:00Z', 'rating': 7.2, 'genres': ['Comedy', 'Fantasy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQxODE3NjM1Ml5BMl5BanBnXkFtZTcwMzkzNjc4OA@@._V1_SX400_.jpg', 'plot': ""While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse."", 'rank': 6, 'running_time_secs': 6420, 'actors': ['James Franco', 'Jonah Hill', 'Seth Rogen']}",61ac88a9-7e9f-4bb6-a7e8-3b0fbf99cfd4,41UnAPX7n7UFAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UFAAAAAAAAAA==/,"""7d00f056-0000-0700-0000-5e39d8170000""",attachments/,1580849176
2013,Insidious: Chapter 2,"{'directors': ['James Wan'], 'release_date': '2013-09-13T00:00:00Z', 'rating': 7.1, 'genres': ['Horror', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX400_.jpg', 'plot': 'The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.', 'rank': 7, 'running_time_secs': 6360, 'actors': ['Patrick Wilson', 'Rose Byrne', 'Barbara Hershey']}",116d90a0-f956-4c59-bdb5-6976e4699fbb,41UnAPX7n7UGAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UGAAAAAAAAAA==/,"""7d00f156-0000-0700-0000-5e39d8180000""",attachments/,1580849176
2013,World War Z,"{'directors': ['Marc Forster'], 'release_date': '2013-06-02T00:00:00Z', 'rating': 7.1, 'genres': ['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg0NTgxMjIxOF5BMl5BanBnXkFtZTcwMDM0MDY1OQ@@._V1_SX400_.jpg', 'plot': 'United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.', 'rank': 8, 'running_time_secs': 6960, 'actors': ['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz']}",1e14b0a7-fb98-4c81-99f1-d8b2b63eb594,41UnAPX7n7UHAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UHAAAAAAAAAA==/,"""7d00f556-0000-0700-0000-5e39d8180000""",attachments/,1580849176
2014,X-Men: Days of Future Past,"{'directors': ['Bryan Singer'], 'release_date': '2014-05-21T00:00:00Z', 'genres': ['Action', 'Adventure', 'Fantasy', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQ0NzIwNTA1MV5BMl5BanBnXkFtZTgwNjY2OTcwMDE@._V1_SX400_.jpg', 'plot': 'The X-Men send Wolverine to the past to change a major historical event that could globally impact man and mutant kind.', 'rank': 9, 'actors': ['Jennifer Lawrence', 'Hugh Jackman', 'Michael Fassbender']}",d8a99f7b-9d5a-4606-9e54-755851afe3a5,41UnAPX7n7UIAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UIAAAAAAAAAA==/,"""7d00f756-0000-0700-0000-5e39d8180000""",attachments/,1580849176
2014,Transformers: Age of Extinction,"{'directors': ['Michael Bay'], 'release_date': '2014-06-25T00:00:00Z', 'genres': ['Action', 'Adventure', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQyMDA5Nzg0Nl5BMl5BanBnXkFtZTgwNzA4NDcxMDE@._V1_SX400_.jpg', 'plot': 'A mechanic and his daughter make a discovery that brings down Autobots and Decepticons - and a paranoid government official - on them.', 'rank': 10, 'actors': ['Mark Wahlberg', 'Nicola Peltz', 'Jack Reynor']}",d19d40e1-a133-4416-a6dd-aed8573baa46,41UnAPX7n7UJAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UJAAAAAAAAAA==/,"""7d00f956-0000-0700-0000-5e39d8180000""",attachments/,1580849176
2013,Now You See Me,"{'directors': ['Louis Leterrier'], 'release_date': '2013-05-21T00:00:00Z', 'rating': 7.3, 'genres': ['Crime', 'Mystery', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX400_.jpg', 'plot': 'An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.', 'rank': 11, 'running_time_secs': 6900, 'actors': ['Jesse Eisenberg', 'Common', 'Mark Ruffalo']}",e895e057-6c0b-4e1f-bba9-d897495f477f,41UnAPX7n7UKAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7UKAAAAAAAAAA==/,"""7d00fb56-0000-0700-0000-5e39d8180000""",attachments/,1580849176
2013,Gravity,"{'directors': ['Alfonso Cuaron'], 'release_date': '2013-08-28T00:00:00Z', 'rating': 8.2, 'genres': ['Drama', 'Sci-Fi', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX400_.jpg', 'plot': 'A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.', 'rank': 12, 'running_time_secs': 5400, 'actors': ['Sandra Bullock', 'George Clooney', 'Ed Harris']}",39fe14ec-4ea1-4990-b851-814d8eb957bd,41UnAPX7n7ULAAAAAAAAAA==,dbs/41UnAA==/colls/41UnAPX7n7U=/docs/41UnAPX7n7ULAAAAAAAAAA==/,"""7d00fe56-0000-0700-0000-5e39d8180000""",attachments/,1580849176
